Source,Target,Type
B1040432,PPT设计,完成
A1040609,画册设计,发布
B1040609,画册设计,完成
A1040610,喷绘写真制作,发布
B1040610,喷绘写真制作,完成
A1040612,LOGO设计,发布
B1040612,LOGO设计,完成
A1040613,包装设计,发布
B1040613,包装设计,完成
A1040665,多媒体AI,发布
B1040665,多媒体AI,完成
A1040674,IT解决方案,发布
B1040674,IT解决方案,完成
A1040694,包装设计,发布
B1040694,包装设计,完成
A1040701,商城建设,发布
B1040701,商城建设,完成
A1040807,APP开发,发布
B1040807,APP开发,完成
A1040826,VI设计,发布
B1040826,VI设计,完成
A1040870,短视频营销,发布
B1040870,短视频营销,完成
A1040884,定制开发,发布
B1040884,定制开发,完成
A1040915,宣传单设计,发布
B1040915,宣传单设计,完成
A1040916,其他宣传品设计,发布
B1040916,其他宣传品设计,完成
A1040921,吉祥物设计,发布
B1040921,吉祥物设计,完成
A1040922,VI设计,发布
B1040922,VI设计,完成
A1040990,H5开发,发布
B1040990,H5开发,完成
A1041096,视频推广,发布
B1041096,视频推广,完成
A1041104,排版设计,发布
B1041104,排版设计,完成
A1041212,包装设计,发布
B1041212,包装设计,完成
A1041256,产品外观设计,发布
B1041256,产品外观设计,完成
A1041272,包装设计,发布
B1041272,包装设计,完成
A1041296,电商网站,发布
B1041296,电商网站,完成
A1041302,纪录片,发布
B1041302,纪录片,完成
A1041303,剧本创作,发布
B1041303,剧本创作,完成
A1041304,淘宝视频,发布
B1041304,淘宝视频,完成
A1041305,Vlog/微电影,发布
B1041305,Vlog/微电影,完成
A1041306,其他短视频,发布
B1041306,其他短视频,完成
A1041317,小红书营销,发布
B1041317,小红书营销,完成
A1041318,二维动画,发布
B1041318,二维动画,完成
A1041319,动画制作,发布
B1041319,动画制作,完成
A1041320,GIF动画,发布
B1041320,GIF动画,完成
A1041321,产品拍摄,发布
B1041321,产品拍摄,完成
A1041322,PS修图,发布
B1041322,PS修图,完成
A1041323,广告摄影,发布
B1041323,广告摄影,完成
A1041324,VR效果图,发布
B1041324,VR效果图,完成
A1041325,3D效果图,发布
B1041325,3D效果图,完成
A1041326,3D视频,发布
B1041326,3D视频,完成
A1041327,企业宣传片,发布
B1041327,企业宣传片,完成
A1041328,广告片/MV,发布
B1041328,广告片/MV,完成
A1041329,产品视频,发布
B1041329,产品视频,完成
A1041330,视频定制,发布
B1041330,视频定制,完成
A1041331,创意短视频,发布
B1041331,创意短视频,完成
A1041332,抖音视频,发布
B1041332,抖音视频,完成
A1041333,纪录片,发布
B1041333,纪录片,完成
A1041335,淘宝视频,发布
B1041335,淘宝视频,完成
A1041336,小红书视频,发布
