Source,Target,Transaction_Price,Publication_Time,Type
一叶知秋CC设计,LOGO设计,1000.0,2025-03-14,完成
雨夜设计工作室,LOGO设计,600.0,2025-03-17,完成
隐士设计,LOGO设计,600.0,2025-03-16,完成
沐风设计,LOGO设计,600.0,2025-03-15,完成
雨夜设计工作室,LOGO设计,500.0,2025-03-14,完成
诸侯视觉,LOGO设计,666.0,2025-03-12,完成
双士广告,宣传册设计,1300.0,2025-03-12,完成
深圳非凡设计工作室,LOGO设计,500.0,2025-03-10,完成
隐士设计,LOGO设计,500.0,2025-03-07,完成
三鱼创意,会员卡设计,400.0,2025-03-04,完成
侠道视觉,LOGO设计,500.0,2025-03-03,完成
Fu设计,LOGO设计,800.0,2025-03-03,完成
风驰广告影视,产品外观设计,1200.0,2025-03-01,完成
深圳非凡设计工作室,LOGO设计,1500.0,2025-03-01,完成
文创设计工作室,包装设计,1000.0,2025-02-28,完成
V领YyswJ,产品外观设计,300.0,2025-02-28,完成
隐士设计,LOGO设计,1000.0,2025-02-28,完成
乔木个人工作室,LOGO设计,1000.0,2025-02-28,完成
谨明设计,LOGO设计,600.0,2025-02-27,完成
隐形人设计工作室,LOGO设计,750.0,2025-02-27,完成
风驰广告影视,产品外观设计,2000.0,2025-02-26,完成
W-Ge,包装设计,800.0,2025-02-24,完成
速 豹 品 牌 设 计,LOGO设计,500.0,2025-02-23,完成
东方创意,LOGO设计,500.0,2025-02-19,完成
佳动设计工作室,海报设计,300.0,2025-02-19,完成
墨思设计Moth,LOGO设计,500.0,2025-02-19,完成
牧行者工作室,LOGO设计,1800.0,2025-02-18,完成
金生设计室,LOGO设计,500.0,2025-02-15,完成
o5d0363f701c78,LOGO设计,1100.0,2025-02-15,完成
雨夜设计工作室,LOGO设计,500.0,2025-02-14,完成
诸侯视觉,LOGO设计,500.0,2025-02-14,完成
侠道视觉,LOGO设计,666.0,2025-02-12,完成
东方创意,LOGO设计,800.0,2025-02-12,完成
wsjyhns2008的商铺,LOGO设计,800.0,2025-02-11,完成
佳动设计工作室,包装设计,1000.0,2025-02-08,完成
昊航设计,包装设计,1000.0,2025-02-07,完成
佳动设计工作室,LOGO设计,800.0,2025-02-07,完成
