需求方,设计师,任务编号,能力标签,交易价格,发布时间
mf150****1786,美和联创,任务编号：385000,广告设计,200.0,2015-10-14
mf177****9311,芭米微传媒,任务编号：384714,包装设计,300.0,2015-10-13
集团事业部,科掘科技   （一品威客VIP旗舰店）,任务编号：384404,宣传册设计,150.0,2015-10-12
biglv,一网天行,任务编号：384106,LOGO设计,500.0,2015-10-10
mf158****7272,科掘科技   （一品威客VIP旗舰店）,任务编号：383818,广告设计,180.0,2015-10-09
M1827****586,厦门龙娱文化传播有限公司,任务编号：383498,LOGO设计,1000.0,2015-10-08
mf130****4322,巨象天成品牌设计,任务编号：383290,LOGO设计,300.0,2015-10-06
mf150****9997,成都陆加叁品牌策划机构,任务编号：382916,LOGO设计,500.0,2015-10-02
Mr189****5535,广州与华组设计,任务编号：382724,LOGO设计,1000.0,2015-09-30
白云蓝天,方正工作室,任务编号：382547,LOGO设计,300.0,2015-09-29
mf139****3066,欣点视觉设计室,任务编号：382428,LOGO设计,800.0,2015-09-29
Mr189****2363,无锡绘然品牌策划有限公司,任务编号：382038,LOGO设计,2000.0,2015-09-26
亮剑12,芭米微传媒,任务编号：381734,包装设计,300.0,2015-09-24
mf139****0806,麻雀™品牌设计,任务编号：381688,LOGO设计,200.0,2015-09-24
mf153****6193,京成视觉设计,任务编号：381401,海报设计,200.0,2015-09-23
木亦青云,索尔品牌设计机构,任务编号：381278,LOGO设计,500.0,2015-09-22
mf136****0213,芭米微传媒,任务编号：381043,海报设计,650.0,2015-09-21
M1ng中注定,Trust.Believe Studio,任务编号：380948,名片设计,200.0,2015-09-21
M1801****660,A【免费设计深入咨询】【专业外观|结构|电控|手板|批量生产】,任务编号：380908,产品外观设计,2500.0,2015-09-21
随风一剑,成都佳博科技工作室,任务编号：380652,机械设备,200.0,2015-09-19
Mr155****7159,208创意星空间  视觉设计工作室,任务编号：380700,卡通形象设计,500.0,2015-09-19
Mr137****9153,208创意星空间  视觉设计工作室,任务编号：380613,海报设计,300.0,2015-09-19
mf130****7766,微福莱工作室,任务编号：380588,店铺装修,600.0,2015-09-19
mf130****7766,微福莱工作室,任务编号：380585,海报设计,200.0,2015-09-19
o5556c1818c016,芭米微传媒,任务编号：380539,海报设计,150.0,2015-09-18
mf139****9520,小马科技,任务编号：380413,店铺装修,1000.0,2015-09-18
Lyl1836,创意图文设计有限公司,任务编号：380416,LOGO设计,100.0,2015-09-18
mf188****2682,桔米盛室文化,任务编号：379950,LOGO设计,300.0,2015-09-16
mf136****2250,凡美广告有限公司,任务编号：379896,LOGO设计,100.0,2015-09-16
mf189****8896,洛阳千博文化传播有限公司,任务编号：379424,LOGO设计,500.0,2015-09-14
mf131****3388,凯晟设计事务所,任务编号：378706,标签设计,400.0,2015-09-10
mf182****5883,一点点（天津）视觉设计,任务编号：378561,宣传册设计,400.0,2015-09-09
sheji798,盛世传媒设计工作室,任务编号：377796,LOGO设计,300.0,2015-09-06
V2753****17,创品视觉,任务编号：377350,LOGO设计,200.0,2015-09-03
冷清秋1,创品视觉,任务编号：377134,广告设计,150.0,2015-09-02
南风新天地企划部,苏德立广告传媒™,任务编号：376841,VI设计,5000.0,2015-09-01
mf186****1170,新常态设计,任务编号：375998,店铺装修,300.0,2015-08-28
mf188****9322,杭州硬壳文化创意有限公司,任务编号：374631,产品外观设计,1000.0,2015-08-22
a6160****4,非凡国际品牌设计,任务编号：373685,LOGO设计,800.0,2015-08-18
a6160****4,芭米微传媒,任务编号：373695,海报设计,380.0,2015-08-18
华耀牧业,林夕设计,任务编号：372977,广告设计,120.0,2015-08-15
o55af64f57fe24,美格一尚,任务编号：372317,卡通形象设计,6800.0,2015-08-12
mf136****4126,C&C设计机构,任务编号：371065,包装设计,600.0,2015-08-06
执倒宝,乐活视觉设计工作室,任务编号：371018,宣传册设计,100.0,2015-08-06
M1341****281,十方品牌策略设计,任务编号：370910,宣传册设计,500.0,2015-08-05
杨统统,鼎茂旗舰店,任务编号：370641,海报设计,400.0,2015-08-04
Mr139****9935,大连一果视觉传媒有限公司,任务编号：370251,LOGO设计,500.0,2015-08-03
mf136****4126,一视觉设计,任务编号：369429,LOGO设计,500.0,2015-07-29
zongzhang,牧笛品牌设计,任务编号：369251,VI设计,4500.0,2015-07-28
M1802****736,1985设计工作室,任务编号：368630,包装设计,500.0,2015-07-25
mf151****8813,指上规划,任务编号：367182,LOGO设计,500.0,2015-07-18
mf180****1166,指上规划,任务编号：367018,LOGO设计,200.0,2015-07-17
caoy168,成都诗迈尔广告有限公司,任务编号：366824,LOGO设计,500.0,2015-07-17
刘毅always,武汉钴道传媒,任务编号：365894,LOGO设计,500.0,2015-07-13
M1860****137,指上规划,任务编号：365710,LOGO设计,1000.0,2015-07-12
o5597****bc282,阔艺传媒-新媒体推广 APP推广,任务编号：365412,LOGO设计,200.0,2015-07-10
mf151****6277,指上规划,任务编号：365492,LOGO设计,100.0,2015-07-10
法平如水,易匙网络,任务编号：364901,LOGO设计,450.0,2015-07-08
AutoLocksmith,TWO B YOUNG设计工作室,任务编号：364348,LOGO设计,200.0,2015-07-06
o5555cea16a81d,凡原设计,任务编号：363745,产品外观设计,1500.0,2015-07-02
德智科技,成都睿意华宇广告有限公司,任务编号：363669,海报设计,800.0,2015-07-02
mf189****0664,指上规划,任务编号：363316,LOGO设计,200.0,2015-07-01
淡蓝梦梦,惠州市永益设计,任务编号：362992,服装设计,350.0,2015-06-29
mf151****7312,头脑风暴,任务编号：362802,详情页设计,400.0,2015-06-29
mf138****0517,琛设计工作室,任务编号：361683,宣传册设计,600.0,2015-06-23
mf5588fb1c44d02,琛设计工作室,任务编号：361573,宣传册设计,500.0,2015-06-23
一品黔农,琛设计工作室,任务编号：361323,LOGO设计,300.0,2015-06-22
mf138****9141,和禾品牌设计,任务编号：360528,LOGO设计,5000.0,2015-06-17
o55801f6f052ac,河南盛世千业品牌策划公司,任务编号：360505,VI设计,5000.0,2015-06-17
华耀牧业,奇遇创意热店,任务编号：360432,宣传册设计,280.0,2015-06-17
shunqiang12321,青岛木喵品牌设计有限公司,任务编号：359278,礼品设计,1500.0,2015-06-11
学海无涯1990,惠州市永益设计,任务编号：358745,海报设计,120.0,2015-06-09
M1354****054,指上规划,任务编号：358937,LOGO设计,600.0,2015-06-10
chen0908,龙玺视觉品牌策划有限公司,任务编号：358425,LOGO设计,800.0,2015-06-08
mf133****7763,集思工业设计,任务编号：358483,机械设备,1000.0,2015-06-08
mf139****7364,蓝腔白调工作室,任务编号：358373,包装设计,1000.0,2015-06-08
Mr181****1483,华客创意品牌设计,任务编号：358079,海报设计,150.0,2015-06-06
