标题,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【效果图设计】展馆平面图及效果图制作,1794人,8人,3000-5000元,圆满完成,招标,o5cba7ad02ce51,展馆平面图设计，平面图设计出来再设计效果图，具体详谈,2019.04.20,2019.06.25,任务编号：737262,"￥3000,￥1000,￥1500,￥3000,￥2200,￥2000,￥2000,￥2000","5天,10天,5天,5天,6天,7天,7天,5天","广西壮族自治区-贺州市-八步区,江西省-南昌市-青云谱区,四川省-成都市-双流县,贵州省-贵阳市-乌当区,江苏省-宿迁市,江苏省-无锡市-南长区,江苏省-盐城市-射阳县,广东省-深圳市",威创设计工作室,工作室,四品,74分,,,书籍封面设计,价格面议,家装设计,价格面议,SU草图大师制作,价格面议,创意设计：LOGO设计,价格面议,工装设计：庭院,价格面议,,价格面议,,,,,,
【效果图设计】45平米办公室平面方案布局、效果图，施工图设计,2014人,12人,1000-3000元,圆满完成,招标,mf131****0290,45平米办公室、科技创意类公司、设计需有新意、容纳7-8个工位。6.0米*7.5米*2.3米。平面方案布局、效果图，施工图。设计要求：中英合资公司，简约、创意、人与空间融合感,2019.04.18,2019.04.24,任务编号：736604,"￥1000,￥1000,￥1000,￥1000,￥3000,￥1000,￥1000,￥800,￥1000,￥1000,￥800","5天,5天,5天,7天,5天,7天,5天,3天,7天,2天,3天","上海市-市辖区,广东省-广州市,贵州省-贵阳市-乌当区,江苏省-盐城市-射阳县,四川省-成都市,广东省-广州市-番禺区,河南省-南阳市-镇平县,广东省-深圳市,云南省-大理白族自治州-洱源县,河北省-廊坊市-大厂回族自治县,湖北省-宜昌市-西陵区",昆明众石嘉创文化传播,企业,一品,39分,,,资深设计师/医疗/慈善/商业/零售/服务标志商标logo设计,"￥1299
            /起",包装盒设计,￥1000,食品包装设计,￥1888,园林/庭院/花园/室内景观/屋顶花园 规划设计,"￥1000
            /起",3D建模,"￥500
            /起",,"￥60
            /平方",酒水月饼礼盒食品/茶/饮品/农产品,"￥300
            /页",创城、创文多折页设计/家居装修/金融保险/产品推介,"￥300
            /页",餐饮/娱乐/旅游VI设计专属定制全套vi视觉系统设计,"￥9999
            /套"
【效果图设计】农村别墅外墙装修效果图设计,1300人,15人,1000-3000元,圆满完成,招标,o5c21adee35ecf,我要设计一栋农村别墅设计工期：3~5天,2019.04.18,2019.05.13,任务编号：736412,"￥1500,￥1000,￥800,￥800,￥600,￥1000,￥800,￥1000,￥1000,￥1000,￥800,￥1000","3天,5天,3天,7天,3天,5天,5天,5天,5天,5天,3天,3天","上海市-市辖区,贵州省-贵阳市-乌当区,湖北省-宜昌市-西陵区,江苏省-盐城市-射阳县,四川省-成都市,河南省-南阳市-镇平县,广东省-深圳市-宝安区,山西省-晋中市,云南省-大理白族自治州-洱源县,广东省-东莞市,广东省-广州市-番禺区,山东省-日照市-东港区",上海暔尚广告设计公司,企业,二品,65分,,,ps平面设计包装宣传单册广告logo彩页画册喷绘排版易拉宝海报设计,价格面议,客厅电视背景墙装修效果图片制作家装室内设计图服务家居房子吊顶,价格面议,高端VI设计 品牌形象VIS设计 公司logo企业全套视觉识别系统设计,价格面议,招牌设计 店面门头设计效果图 实体店铺设计 广告牌匾 门面设计,"￥100
            /起",高端包装设计化妆食品饮料彩酒袋定制瓶贴纸外盒茶叶产品平面设计,"￥100
            /起",,"￥100
            /起",,,,,,
【效果图设计】民宿CAD施工图+效果图制作,2588人,13人,1000-3000元,圆满完成,招标,假装很闲,壮族特色酒店（民宿）3层CAD施工图+效果图（至少6张）+样品间立面图预算1000具体详谈,2019.03.21,2019.05.06,任务编号：724777,"￥1100,￥1000,￥1000,￥800,￥1000,￥1000,￥800,￥1000,￥800,￥800","10天,7天,7天,15天,8天,10天,3天,5天,100天,12天","广西壮族自治区-贺州市-八步区,湖北省-武汉市-市辖区,河北省-衡水市-桃城区,浙江省-金华市-婺城区,广东省-深圳市,广东省-深圳市-宝安区,河北省-邢台市-平乡县,河南省-焦作市-中站区,上海市-市辖区-黄浦区,上海市-市辖区-黄浦区",威创设计工作室,工作室,四品,74分,,,书籍封面设计,价格面议,家装设计,价格面议,SU草图大师制作,价格面议,创意设计：LOGO设计,价格面议,工装设计：庭院,价格面议,,价格面议,,,,,,
【效果图设计】装修公司店铺效果图设计,1208人,8人,1000元以内,圆满完成,招标,o5c7fb9e94754c,需设计装修公司店铺，全套的装修效果图纸设计，店铺45平米左右，工期1星期具体详谈,2019.03.16,2019.03.30,任务编号：722275,"￥580,￥800,￥1000,￥500,￥1000,￥1000,￥580","5天,7天,7天,7天,7天,5天,3天","广西壮族自治区-贺州市-八步区,河北省-石家庄市,云南省-昆明市-嵩明县,重庆市-市辖区-渝中区,江苏省-苏州市-吴中区,浙江省-金华市-磐安县,广东省-深圳市-南山区",威创设计工作室,工作室,四品,74分,,,书籍封面设计,价格面议,家装设计,价格面议,SU草图大师制作,价格面议,创意设计：LOGO设计,价格面议,工装设计：庭院,价格面议,,价格面议,,,,,,
【效果图设计】小龙虾主题餐厅门面设计,1764人,9人,1000元以内,圆满完成,招标,o5c7f632172a72,三间门面的一个小龙虾主题餐厅门面设计。门面高4.5米，宽12米，门头高度1.5米。,2019.03.15,2019.03.24,任务编号：721990,"￥800,￥1000,￥500,￥800,￥1000,￥800","5天,3天,1天,5天,5天,4天","广西壮族自治区-贺州市-八步区,江苏省-南京市-市辖区,河北省-邢台市-平乡县,江苏省-苏州市-吴中区,河北省-张家口市,福建省-厦门市",威创设计工作室,工作室,四品,74分,,,书籍封面设计,价格面议,家装设计,价格面议,SU草图大师制作,价格面议,创意设计：LOGO设计,价格面议,工装设计：庭院,价格面议,,价格面议,,,,,,
【其他家装服务】外部门头和室内色彩设计,2747人,7人,1000元以内,圆满完成,招标,o5c7352b735b26,需求：外部门头、还有室内色彩设计行业属性：居民房健身工作室基础色：橙色、白色、绿色，地面：灰色有现成的logo（橙色绿色蜗牛形象）和现成的平面布局图,2019.02.25,2019.04.08,任务编号：714097,"￥900,￥1000,￥800,￥800,￥1000,￥500,￥1000","20天,5天,3天,7天,5天,5天,5天","广西-贺州市-八步区,江苏省-无锡市-滨湖区,湖北省-武汉市-江岸区,江苏省-淮安市-清浦区,湖北省-荆州市-松滋市,北京市-北京市,浙江省-金华市-磐安县",威创设计工作室,工作室,四品,74分,,,书籍封面设计,价格面议,家装设计,价格面议,SU草图大师制作,价格面议,创意设计：LOGO设计,价格面议,工装设计：庭院,价格面议,,价格面议,,,,,,
【别墅设计】宅基地平面图设计,2831人,11人,1000-3000元,圆满完成,招标,x1339****972,家乡广东新会一宅基地，尺寸如图，东西走向10.25米南北走向11.8米，打算建一小房子，目的：将土地占住，不再被人侵入，用途：每年清明节回家祭祖偶尔用用，也不住人不过夜，平时空置，不想耗费太多金钱建设。但同时又有点小贪心，想做得有点小精致，好有点依恋感。敬请各位专业高手给出宝贵意见方案，采纳者给予¥1000元奖励（仅一名）。小本经营，敬请谅解！目前的一点想法：1、房子小一点问题不大，想带一个小院子。2、最多两层就足够了，目前的想法是一层。3、目前村子里的基础设施非常落后，排污通过门前巷道的露天地沟排向池塘。4、厨房有一个最简单的案台、有电源也都足够了，可以不用专门的厨房。5、屋子里的最东面要放置祖宗牌位，也就是神台要摆放在屋子里的最东面。6、房子的西面与邻居不留空隙。7、房子可以没有卧室，单一个大厅再加上洗手间、一个案台（相当于厨房）也都可以。8、巷道不能通汽车，只能走人或者摩托车、电单车。9、是否建楼梯上屋面、楼梯放在室内还是室外，都正纠结着。10、可以只出总平面图和建筑平、立、剖面图，当然结构、水、电都出就更加感谢。11、一楼层高超过4米。,2019.01.28,2019.03.18,任务编号：707754,"￥1300,￥1000,￥800,￥1000,￥1000,￥500,￥1000,￥1000,￥950,￥1500,￥1000","15天,5天,7天,15天,5天,30天,3天,5天,15天,7天,7天","山东省-日照市,广东省-广州市-海珠区,浙江省-温州市-瓯海区,江苏省-盐城市-射阳县,浙江省-金华市-磐安县,上海市-市辖区,浙江省-丽水市,福建省-厦门市,浙江省-杭州市-江干区,广东省-汕尾市-城区,上海市-市辖区",创易建筑设计室,企业,四品,39分,,,【省平台，七年工作室】自建房、别墅设计 国内外工程实例,价格面议,,,,,,,,,,,,,,,,
【新房装修】做一套家装全景效果图,5526人,23人,1000-3000元,圆满完成,招标,o5c20a1a50ee83,要求毎个空间需要出效果图，具体详谈,2018.12.24,2019.02.26,任务编号：696278,"￥1350,￥1000,￥200,￥500,￥800,￥150,￥200,￥1000,￥1000,￥800,￥300","3天,5天,5天,5天,5天,5天,10天,5天,7天,7天,3天","广西-贺州市,辽宁省-大连市-沙河口区,湖北省-武汉市-市辖区,河南省-郑州市,广东省-广州市-番禺区,辽宁省-丹东市-凤城市,山东省-青岛市,贵州省-贵阳市-乌当区,江苏省-盐城市-射阳县,河南省-濮阳市-华龙区,陕西省-西安市-雁塔区",威创设计工作室,工作室,四品,74分,,,书籍封面设计,价格面议,家装设计,价格面议,SU草图大师制作,价格面议,创意设计：LOGO设计,价格面议,工装设计：庭院,价格面议,,价格面议,,,,,,
【施工图设计】毛胚房装修设计,2772人,23人,1000元以内,圆满完成,招标,oyzp1818,一、基本情况：刚交房的毛胚房，三房两厅。期望风格：现代、简约、温馨设计内容：包括室内所有装饰工程，含灯光照明及家具平面布置、装饰品摆设等。二、要求1、 设计需符合要求的设计理念和方案。2、 设计资料：设计说明阐述设计理由，设计图纸详尽、便于施工。3、以原平面图为基础，先出平面图和立面的较复杂部位的立面图，标好色彩和材料及施工工艺，最后再出效果图。4、提供造价及其选材建议。5、后期施工过程能提供解决建议。总之，设计要具有较强的指导作用，设计过程有问题可以随时联系我。身边很都同事朋友都交房了，合作愉快可以帮忙介绍客户。,2018.12.16,2019.02.13,任务编号：693375,"￥999,￥1000,￥5000,￥1000,￥1000,￥899,￥800,￥1000,￥700,￥600,￥1000","3天,7天,12天,7天,7天,7天,10天,3天,7天,5天,3天","重庆市-市辖区-万州区,安徽省-滁州市-市辖区,上海市-市辖区,河北省-衡水市-桃城区,江苏省-南通市-港闸区,北京市-北京市-朝阳区,贵州省-贵阳市-乌当区,贵州省-贵阳市-南明区,广西壮族自治区-钦州市-钦南区,安徽省-六安市-市辖区,陕西省-西安市-雁塔区",饭饭设计@_@,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】室内设计效果图,1526人,5人,1000元以内,圆满完成,招标,o5c038c490ab7c,乔 设计 简单的室内设计效果图 直接微信沟通 不方便电话 贵州贵阳最好 没有也要贵州的服务商 其他区域勿扰。,2018.12.03,2018.12.14,任务编号：688654,"￥500,￥800,￥600,￥1000,￥999","5天,3天,5天,3天,3天","浙江省-金华市-婺城区,安徽省-合肥市-包河区,江苏省-连云港市-新浦区,贵州省-毕节地区-毕节市,重庆市-市辖区-万州区",三点水设计,,,,,,,,,,,,,,,,,,,,,,,
【庭院设计】自建房室外设计,2733人,12人,1000-3000元,圆满完成,招标,o5bea****31916,自建房，要求有水体（主要为鱼池，面积100-120平米左右），走廊、休闲凉亭、绿化等。需要施工图，效果图。,2018.11.13,2018.11.25,任务编号：681431,"￥1000,￥3000,￥1000,￥5000,￥900,￥800,￥1000,￥3000,￥900,￥1000,￥1000,￥3000","8天,20天,3天,15天,7天,5天,10天,6天,3天,7天,7天,15天","山东省-淄博市,浙江省-丽水市,福建省-厦门市,广东省-广州市-天河区,上海市-市辖区,山西省-大同市-市辖区,四川省-成都市,四川省-成都市,江苏省-常州市-天宁区,重庆市-重庆市-沙坪坝区,云南省-昆明市-盘龙区,山东省-日照市-东港区",艺源三地景观工作,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】办公楼装修设计,4577人,32人,5000-10000元,圆满完成,招标,miaohan0823,1800平左右办公楼装修设计，功能分区已经设定好。需要出施工图效果图。,2018.11.05,2018.11.30,任务编号：678330,"￥5800,￥3000,￥1000,￥3000,￥3000,￥3000,￥3000,￥3000,￥3000,￥5000","5天,7天,20天,7天,7天,10天,10天,10天,10天,10天","上海市-市辖区,湖北省-武汉市-洪山区,上海市-市辖区-黄浦区,湖北省-荆州市-松滋市,北京市-北京市-大兴区,黑龙江省-牡丹江市-爱民区,山东省-烟台市,北京市-北京市-海淀区,广东省-广州市-番禺区,四川省-成都市",友度品牌设计,,,,,,,,,,,,,,,,,,,,,,,
【其他家装服务】毛坯房新房设计,3173人,5人,1000-3000元,圆满完成,招标,o5bc74020d87de,1，面积104平，公摊面积大，使用面积86多一点，实际跟图纸有一些细微差别，户型是一样的2.  风格现代简约中式，以实用简洁为主，方便打扫，卫生间最好做三式分离，坐便洗浴脸盆隔开，洗衣机放不下就做到北阳台或者客厅，坐便想做挂壁式的，最好能放下坐式小浴缸，实在放不下也可以不装，客厅能有个专门放电脑的地方，次卧可以做成榻榻米式的，如果有更好的设计也可以换，灯具不用太花哨，以实用为主，厨房上柜别弄太多不实用的柜子，打算用集成灶和洗碗机3，全套图纸，直接就能施工的价格可以再议,2018.10.17,2018.11.12,任务编号：671283,"￥1000,￥800,￥1000,￥1000,￥1000","5天,5天,5天,7天,5天","重庆市-市辖区-万州区,广东省-深圳市-南山区,辽宁省-沈阳市-和平区,广东省-东莞市-东莞市,河南省-南阳市-宛城区",饭饭设计@_@,,,,,,,,,,,,,,,,,,,,,,,
