Source,Target,Type
任务编号：699976,knowledge:网站设计,关联
任务编号：699982,knowledge:儿童钓鱼玩具,关联
任务编号：699982,knowledge:外观设计,关联
任务编号：699986,knowledge:百货团购,关联
任务编号：699986,knowledge:微信小程序,关联
任务编号：700011,knowledge:bug修改,关联
任务编号：700053,knowledge:APP同城,关联
任务编号：700053,knowledge:开发,关联
任务编号：700053,knowledge:一期,关联
任务编号：700062,knowledge:LOGO设计,关联
任务编号：700062,knowledge:外包,关联
任务编号：700063,knowledge:化妆品,关联
任务编号：700063,knowledge:LOGO设计,关联
任务编号：700074,knowledge:详情页设计,关联
任务编号：700074,knowledge:淘宝详情页,关联
任务编号：700074,knowledge:京东详情页,关联
任务编号：700074,knowledge:产品详情页,关联
任务编号：700075,knowledge:海报设计,关联
任务编号：700088,knowledge:垚窑鸡,关联
任务编号：700088,knowledge:微信运营,关联
任务编号：700088,knowledge:代运营,关联
任务编号：700089,knowledge:垚窑鸡,关联
任务编号：700089,knowledge:微信代运营,关联
任务编号：700089,knowledge:第七期,关联
任务编号：700090,knowledge:美多多app,关联
任务编号：700090,knowledge:代运营,关联
任务编号：700090,knowledge:第四期,关联
任务编号：700091,knowledge:美多多app,关联
任务编号：700091,knowledge:代运营,关联
任务编号：700091,knowledge:第五期,关联
任务编号：700112,knowledge:程序开发,关联
任务编号：700112,knowledge:设计,关联
任务编号：700144,knowledge:LOGO设计,关联
任务编号：700151,knowledge:合作链接,关联
任务编号：700153,knowledge:店铺装修,关联
任务编号：700153,knowledge:设计图,关联
任务编号：700156,knowledge:音乐网站,关联
任务编号：700156,knowledge:网站开发,关联
任务编号：700157,knowledge:跑腿,关联
任务编号：700157,knowledge:商城APP,关联
任务编号：700157,knowledge:APP开发,关联
任务编号：700161,knowledge:地产项目,关联
任务编号：700161,knowledge:月度提报,关联
任务编号：700163,knowledge:商标,关联
任务编号：700163,knowledge:企业品牌,关联
任务编号：700163,knowledge:餐饮品牌,关联
任务编号：700163,knowledge:公司logo设计,关联
任务编号：700168,knowledge:团购网站,关联
任务编号：700168,knowledge:app开发,关联
任务编号：700168,knowledge:二期,关联
任务编号：700179,knowledge:卡通风格,关联
任务编号：700179,knowledge:游戏中心,关联
任务编号：700179,knowledge:整包开发,关联
任务编号：700189,knowledge:专业推广,关联
任务编号：700189,knowledge:注册下载,关联
任务编号：700191,knowledge:儿童悠悠车,关联
任务编号：700191,knowledge:外观设计,关联
任务编号：700202,knowledge:川菜调味料,关联
任务编号：700202,knowledge:经销商,关联
任务编号：700202,knowledge:招商方案,关联
任务编号：700209,knowledge:特别镜头,关联
任务编号：700209,knowledge:MV制作,关联
任务编号：700211,knowledge:旅游类小程序,关联
任务编号：700214,knowledge:画板,关联
任务编号：700214,knowledge:QGraphicsTextItem,关联
任务编号：700214,knowledge:可编辑控件,关联
任务编号：700218,knowledge:新春送好礼,关联
任务编号：700218,knowledge:H5页面,关联
任务编号：700218,knowledge:页面开发,关联
任务编号：700222,knowledge:新年新春,关联
任务编号：700222,knowledge:会员卡设计,关联
任务编号：700222,knowledge:样式设计,关联
任务编号：700225,knowledge:音乐软件,关联
任务编号：700225,knowledge:bug修复,关联
任务编号：700228,knowledge:政府部门网站,关联
任务编号：700228,knowledge:门户网站开发,关联
任务编号：700229,knowledge:政府部门门户,关联
任务编号：700229,knowledge:子系统开发,关联
任务编号：700238,knowledge:宣传画册,关联
任务编号：700238,knowledge:设计排版,关联
任务编号：700257,knowledge:IOS商城,关联
任务编号：700257,knowledge:开发,关联
任务编号：700261,knowledge:Android端,关联
任务编号：700261,knowledge:商城,关联
任务编号：700261,knowledge:开发,关联
